2025-02-01 02:17:45,918 - INFO - Epoch 0, Step 223, Loss: 7.791044, Best Loss: 7.501000
2025-02-01 02:17:53,923 - INFO - Epoch 0, Step 224, Loss: 7.874306, Best Loss: 7.501000
2025-02-01 02:18:01,934 - INFO - Epoch 0, Step 225, Loss: 7.780178, Best Loss: 7.501000
2025-02-01 02:18:09,942 - INFO - Epoch 0, Step 226, Loss: 8.008825, Best Loss: 7.501000
2025-02-01 02:18:17,947 - INFO - Epoch 0, Step 227, Loss: 8.282206, Best Loss: 7.501000
2025-02-01 02:18:25,961 - INFO - Epoch 0, Step 228, Loss: 7.696369, Best Loss: 7.501000
2025-02-01 02:18:33,971 - INFO - Epoch 0, Step 229, Loss: 7.711742, Best Loss: 7.501000
2025-02-01 02:18:41,987 - INFO - Epoch 0, Step 230, Loss: 7.650751, Best Loss: 7.501000
2025-02-01 02:18:50,032 - INFO - Epoch 0, Step 231, Loss: 7.883525, Best Loss: 7.501000
2025-02-01 02:18:58,040 - INFO - Epoch 0, Step 232, Loss: 7.725184, Best Loss: 7.501000
2025-02-01 02:19:06,047 - INFO - Epoch 0, Step 233, Loss: 7.763656, Best Loss: 7.501000
2025-02-01 02:19:14,068 - INFO - Epoch 0, Step 234, Loss: 7.804048, Best Loss: 7.501000
2025-02-01 02:19:22,081 - INFO - Epoch 0, Step 235, Loss: 7.715199, Best Loss: 7.501000
2025-02-01 02:19:30,095 - INFO - Epoch 0, Step 236, Loss: 7.541549, Best Loss: 7.501000
2025-02-01 02:19:38,106 - INFO - Epoch 0, Step 237, Loss: 7.759414, Best Loss: 7.501000
2025-02-01 02:19:46,120 - INFO - Epoch 0, Step 238, Loss: 7.667013, Best Loss: 7.501000
2025-02-01 02:19:54,157 - INFO - Epoch 0, Step 239, Loss: 7.952094, Best Loss: 7.501000
2025-02-01 02:20:02,178 - INFO - Epoch 0, Step 240, Loss: 7.569426, Best Loss: 7.501000
2025-02-01 02:20:10,189 - INFO - Epoch 0, Step 241, Loss: 7.919370, Best Loss: 7.501000
2025-02-01 02:20:18,201 - INFO - Epoch 0, Step 242, Loss: 7.654767, Best Loss: 7.501000
2025-02-01 02:20:26,222 - INFO - Epoch 0, Step 243, Loss: 7.738684, Best Loss: 7.501000
2025-02-01 02:20:34,237 - INFO - Epoch 0, Step 244, Loss: 7.586711, Best Loss: 7.501000
2025-02-01 02:20:42,252 - INFO - Epoch 0, Step 245, Loss: 7.868449, Best Loss: 7.501000
2025-02-01 02:20:50,265 - INFO - Epoch 0, Step 246, Loss: 7.565080, Best Loss: 7.501000
2025-02-01 02:20:58,305 - INFO - Epoch 0, Step 247, Loss: 7.828138, Best Loss: 7.501000
2025-02-01 02:21:06,320 - INFO - Epoch 0, Step 248, Loss: 7.658947, Best Loss: 7.501000
2025-02-01 02:21:14,329 - INFO - Epoch 0, Step 249, Loss: 7.957944, Best Loss: 7.501000
2025-02-01 02:21:23,352 - INFO - Epoch 0, Step 250, Loss: 7.577685, Best Loss: 7.501000
2025-02-01 02:21:31,374 - INFO - Epoch 0, Step 251, Loss: 7.548832, Best Loss: 7.501000
2025-02-01 02:21:39,384 - INFO - Epoch 0, Step 252, Loss: 7.704728, Best Loss: 7.501000
2025-02-01 02:21:47,407 - INFO - Epoch 0, Step 253, Loss: 7.684897, Best Loss: 7.501000
2025-02-01 02:21:55,413 - INFO - Epoch 0, Step 254, Loss: 7.934581, Best Loss: 7.501000
2025-02-01 02:22:03,450 - INFO - Epoch 0, Step 255, Loss: 7.779177, Best Loss: 7.501000
2025-02-01 02:22:15,860 - INFO - Epoch 0, Step 256, Loss: 7.496436, Best Loss: 7.496436
